"Hugo_symbol" "lengths"
"ACOT6" 8943
"ACOT7" 129494
"ACOT8" 15684
"ACOT9" 42221
"ACOX1" 37692
"ACOX2" 32060
"ACOX3" 74460
"ACOXL" 388071
"ACP1" 13414
"ACP2" 9545
"ACP5" 4323
"ACP6" 44342
"PXYLP1" 63099
"ACPP" 51362
"ACPT" 4804
"ACRBP" 9357
"ACRC" 35559
"ACRV1" 9325
"ACR" 7135
"ACSBG1" 67157
"ACSBG2" 57470
"ACSF2" 48687
"ACSF3" 66709
"ACSL1" 70998
"ACSL3" 83603
"ACSL4" 92057
"ACSL5" 54264
"ACSL6" 62095
"ACSM1" 74553
"ACSM2A" 36165
"ACSM2B" 40150
"ACSM3" 55371
"ACSM4" 24041
"ACSM5" 31802
"ACSS1" 51952
"ACSS2" 53024
"ACSS3" 183173
"ACTA1" 2849
"ACTA2" 56323
"ACTBL2" 2793
"ACTB" 3453
"ACTC1" 5319
"ACTG1" 2828
"ACTG2" 26857
"ACTL6A" 25527
"ACTL6B" 13351
"ACTL7A" 1490
"ACTL7B" 1398
"ACTL8" 71730
"ACTL9" 1395
"ACTN1" 105179
"ACTN2" 78177
"ACTN3" 16939
"ACTN4" 83940
"ACTR10" 35487
"ACTR1A" 23483
"ACTR1B" 8105
"ACTR2" 43558
"ACTR3B" 311230
"ACTR3C" 442310
"ACTR3" 72662
"ACTR5" 24060
"ACTR6" 24337
"ACTR8" 23168
"ACTRT1" 1441
"ACTRT2" 1436
"ACVR1B" 45383
"ACVR1C" 102097
"ACVR1" 139884
"ACVR2A" 86310
"ACVR2B" 39252
"ACVRL1" 16448
"ACY1" 5662
"ACY3" 8278
"ACYP1" 16247
"ACYP2" 334462
"ADAD1" 50844
"ADAD2" 6009
"ADAL" 24228
"ADAM10" 160898
"ADAM11" 22858
"ADAM12" 376086
"ADAM15" 11459
"ADAM17" 67344
"ADAM18" 145497
"ADAM19" 98471
"ADAM20" 43925
"ADAM21P1" 2048
"ADAM21" 7731
"ADAM22" 268746
"ADAM23" 177595
"ADAM28" 64974
"ADAM29" 59822
"ADAM2" 94492
"ADAM30" 2982
"ADAM32" 177388
"ADAM33" 14135
"ADAM3A" 71944
"ADAM5" 102563
"ADAM6" 2540
"ADAM7" 68539
"ADAM8" 14469
"ADAM9" 108494
"ADAMDEC1" 21728
"ADAMTS10" 30475
"ADAMTS12" 368645
"ADAMTS13" 45064
"ADAMTS14" 89935
"ADAMTS15" 29339
"ADAMTS16" 179974
"ADAMTS17" 371487
"ADAMTS18" 152906
"ADAMTS19" 278402
"ADAMTS1" 9654
"ADAMTS20" 199360
"ADAMTS2" 234608
"ADAMTS3" 288252
"ADAMTS4" 18037
"ADAMTS5" 49836
"ADAMTS6" 333927
"ADAMTS7" 52273
"ADAMTS8" 23686
"ADAMTS9" 172346
"ADAMTSL1" 1004435
"ADAMTSL2" 43355
"ADAMTSL3" 385747
"ADAMTSL4" 11559
"ADAMTSL5" 8020
"ADAP1" 57507
"ADAP2" 37662
"ADARB1" 151985
"ADARB2" 560212
"ADAR" 45940
"ADAT1" 26413
"ADAT2" 27918
"ADAT3" 8048
"ADA" 32239
"ADCK1" 134950
"ADCK2" 22219
"ADCK4" 25356
"ADCK5" 19480
"ADCY10" 107309
"ADCY1" 148976
"ADCY2" 433943
"ADCY3" 101068
"ADCY4" 16712
"ADCY5" 166794
"ADCY6" 22895
"ADCY7" 71997
"ADCY8" 261304
"ADCY9" 163055
"ADCYAP1R1" 59171
"ADCYAP1" 7788
"AZIN2" 81136
"ADD1" 86232
"ADD2" 111416
"ADD3" 139200
"ADH1A" 14616
"ADH1B" 16430
"ADH1C" 16249
"ADH4" 20641
"ADH5" 17810
"ADH6" 16607
"ADH7" 23249
"ADHFE1" 36403
"ADI1" 22165
"ADIG" 7266
"ADIPOQ" 15753
"ADIPOR1" 17747
"ADIPOR2" 97615
"ADK" 558118
"ADM2" 4894
"ADM" 2324
"ADNP2" 31095
"ADNP" 42519
"ADORA1" 39700
"ADORA2A" 18763
"ADORA2B" 48114
"ADORA3" 4204
"ADO" 3759
"ADPGK" 32482
"ADPRHL1" 31543
"ADPRHL2" 5047
"ADPRH" 10453
"ADRA1A" 132881
"ADRA1B" 72723
"ADRA1D" 28657
"ADRA2A" 3878
"ADRA2B" 3695
"ADRA2C" 2141
"ADRB1" 3038
"ADRB2" 2012
"ADRB3" 3609
"ADRBK1" 20136
"ADRBK2" 164619
"ADRM1" 6801
"ADSL" 40989
"ADSSL1" 23124
"ADSS" 43568
"AEBP1" 10244
"AEBP2" 118126
"AEN" 27680
"AES" 10197
"AFAP1L1" 71799
"AFAP1L2" 124018
"AFAP1" 181213
"AKR7A2P1" 1323
"AFF1" 206448
"AFF2" 500046
"AFF3" 597171
"AFF4" 88274
"AFG3L1P" 28207
"AFG3L2" 48365
"AFMID" 22600
"AFM" 22256
"AFP" 19953
"AFTPH" 68700
"C11ORF96" 1241
"AGAP11" 39867
"AGAP1" 637752
"AGAP2" 18440
"AGAP3" 58568
"AGAP4" 28285
"AGAP5" 27053
"AGAP6" 22198
"AGAP7P" 22183
"AGA" 11729
"AGBL1" 951856
"AGBL2" 56214
"AGBL3" 149643
"AGBL4" 1503797
"AGBL5" 19199
"AGER" 3412
"AGFG1" 89053
"AGFG2" 29017
"AGGF1" 34830
"AGK" 110743
"AGL" 73946
"AGMAT" 13352
"AGPAT1" 9896
"AGPAT2" 14314
"AGPAT3" 122432
"AGPAT4" 144141
"AGPAT5" 52916
"AGPAT6" 46811
"AGPAT9" 70241
"HYKK" 29809
"AGPS" 151061
"AGR2" 13188
"AGR3" 27272
"AGRN" 36017
"AGRP" 976
"AGTPBP1" 195490
"AGTR1" 45132
"AGTR2" 4230
"AGTRAP" 14686
"AGT" 11599
"ETNPPL" 21000
"PHYKPL" 25678
"AGXT2" 50089
"AGXT" 11676
"AHCTF1" 92850
"AHCYL1" 38977
"AHCYL2" 205181
"AHCY" 76964
"AHDC1" 69933
"AHI1" 214239
"AHNAK2" 41121
"AHNAK" 113262
"AHRR" 116571
"AHR" 47495
"AHSA1" 11605
"AHSA2" 11507
"AHSG" 8258
"AHSP" 904
"AICDA" 10800
"AIDA" 44882
"AIF1L" 26676
"AIF1" 1803
"AIFM1" 36525
"AIFM2" 20667
"AIFM3" 16186
"AIG1" 284520
"AIM1L" 32271
"AIM1" 211300
"AIM2" 73125
"AIMP1" 33846
"AIMP2" 14589
"AIPL1" 11383
"AIP" 22929
"AIRE" 12772
"AJAP1" 137925
"AK1" 19062
"AK2" 28971
"AK4" 84803
"AK3" 32487
"AK5" 278058
"AK7" 97316
"AKAP10" 73554
"AKAP11" 51796
"AKAP12" 118744
"AKAP13" 368755
"AKAP14" 24823
"AKAP1" 36098
"AKAP2" 123914
"AKAP3" 33543
"AKAP4" 10230
"AKAP5" 9004
"AKAP6" 634074
"AKAP7" 157836
"AKAP8L" 38938
"AKAP8" 26402
"AKAP9" 172046
"AK9" 198357
"AKIRIN1" 14821
"AKIRIN2" 27373
"AKNAD1" 42343
"AKNA" 64349
"AKR1A1" 19272
"AKR1B10" 13845
"AKR1B15" 30759
"AKR1B1" 16889
"AKR1C1" 19868
"AKR1C2" 30258
"AKR1C3" 58920
"AKR1C4" 22112
"AKR1C8P" 30727
"AKR1D1" 41846
"AKR1E2" 83867
"AKR7A2" 9438
"AKR7A3" 15133
"AKR7L" 8140
"AKT1S1" 9323
"AKT1" 26399
"AKT2" 55214
"AKT3" 362846
"AKTIP" 13371
"ALAD" 15026
"ALAS1" 16244
"ALAS2" 21922
"ALB" 17195
"ALCAM" 210187
"ALDH16A1" 17825
"ALDH18A1" 50963
"ALDH1A1" 52382
"ALDH1A2" 112499
"ALDH1A3" 36795
"ALDH1B1" 5963
"ALDH1L1" 94197
"ALDH1L2" 64825
"ALDH2" 50599
"ALDH3A1" 10406
"ALDH3A2" 29446
"ALDH3B1" 20729
"ALDH3B2" 19062
"ALDH4A1" 31369
"ALDH5A1" 42238
"ALDH6A1" 27606
"ALDH7A1" 53378
"ALDH8A1" 32708
"ALDH9A1" 36451
"ALDOA" 6141
"ALDOB" 15214
"ALDOC" 3848
"ALG10B" 13046
"ALG10" 12981
"ALG11" 21202
"ALG12" 58306
"ALG13" 83423
"ALG14" 98569
"ALG1L2" 21968
"ALG1L" 66122
"ALG1" 15554
"ALG2" 5517
"ALG3" 16000
"ALG5" 49629
"ALG6" 70926
"ALG8" 38711
"ALG9" 95485
"ALKBH1" 35634
"ALKBH2" 5443
"ALKBH3" 39443
"ALKBH4" 8643
"ALKBH5" 26126
"ALKBH6" 5119
"ALKBH7" 2456
"ALKBH8" 63011
"ALK" 730597
"ALLC" 57303
"ALMS1P" 40653
"ALMS1" 224161
"ALOX12B" 15080
"ALOX12P2" 46773
"ALOX12" 16963
"ALOX15B" 10094
"ALOX15" 10759
"ALOX5AP" 50950
"ALOX5" 71955
"ALOXE3" 23016
"ALPI" 4600
"ALPK1" 145278
"ALPK2" 147844
"ALPK3" 56123
"ALPL" 69428
"ALPPL2" 3870
"ALPP" 4138
"ALS2CL" 24698
"ALS2CR11" 131761
"ALS2CR12" 76014
"TMEM237" 23317
"CARF" 76045
"ALS2" 80886
"ALX1" 21564
"ALX3" 10802
"ALX4" 49699
"SLC35G5" 1348
"SLC35G6" 1662
"SLC35G3" 1873
"AMACR" 21885
"AMBN" 15032
"AMBP" 18173
"AMBRA1" 197643
"AMD1" 81092
"AMDHD1" 25389
"AMDHD2" 11060
"AMELX" 10736
"AMELY" 8109
"AMFR" 64093
"AMHR2" 7817
"AMH" 2750
"AMICA1" 31364
"AMIGO1" 5564
"AMIGO2" 4252
"AMIGO3" 2855
"AMMECR1L" 25945
"AMMECR1" 246047
"AMN1" 58037
"AMN" 11167
"AMOTL1" 170330
"AMOTL2" 20072
"AMOT" 66443
"AMPD1" 22520
"AMPD2" 12242
"AMPD3" 57258
"AMPH" 247873
"AMTN" 14174
"AMT" 5695
"AMY1A" 9032
"AMY2A" 8448
"AMY2B" 24890
"AMZ1" 85665
"AMZ2P1" 9035
"AMZ2" 51035
"ANAPC10" 131424
"ANAPC11" 9743
"ANAPC13" 8319
"ANAPC16" 19860
"ANAPC1" 118046
"ANAPC2" 13801
"ANAPC4" 41235
"ANAPC5" 45964
"ANAPC7" 30830
"ANGEL1" 26873
"ANGEL2" 23693
"ANGPT1" 248436
"ANGPT2" 63788
"ANGPT4" 46468
"ANGPTL1" 21542
"ANGPTL2" 35336
"ANGPTL3" 8793
"ANGPTL4" 10244
"ANGPTL5" 26376
"ANGPTL6" 14070
"ANGPTL7" 6657
"ANG" 10009
"ANK1" 243516
"ANK2" 677722
"ANK3" 707230
"ANKAR" 88767
"ANKDD1A" 46789
"ANKFN1" 406081
"ANKFY1" 100161
"ANKHD1-EIF4EBP3" 147764
"ANKHD1" 138035
"ANKH" 166978
"ANKIB1" 155409
"ANKK1" 14402
"ANKLE1" 5745
"ANKLE2" 36329
"ANKMY1" 92584
"ANKMY2" 46037
"ANKRA2" 13449
"ANKRD10" 36531
"ANKRD11" 222942
"ANKRD12" 149218
"ANKRD13A" 40594
"ANKRD13B" 25237
"ANKRD13C" 95978
"ANKRD13D" 13181
"ANKRD16" 28281
"ANKRD17" 186390
"ANKRD19P" 28846
"ANKRD1" 8991
"ANKRD20A3" 60816
"ANKRD20A4" 43128
"ANKRD20A8P" 96147
"ANKRD22" 31948
"ANKRD23" 6109
"ANKRD24" 42196
"ANKRD26P1" 99760
"ANKRD26" 162303
"ANKRD27" 78210
"ANKRD28" 192578
"ANKRD29" 63988
"ANKRD2" 11443
"ANKRD30A" 183544
"ANKRD30B" 107293
"ANKRD31" 168625
"ANKRD32" 101442
"ANKRD33" 3624
"ANKRD34A" 5134
"ANKRD34B" 13537
"ANKRD34C" 15517
"ANKRD35" 19306
"ANKRD36BP1" 1865
"ANKRD36B" 97674
"ANKRD36" 151368
"ANKRD37" 3402
"ANKRD39" 10026
"ANKRD40" 14719
"ANKRD42" 62387
"SOWAHA" 3484
"ANKRD44" 348170
"ANKRD45" 97094
"ANKRD46" 50007
"ANKRD49" 5594
"ANKRD50" 48684
"ANKRD52" 20584
"ANKRD53" 8232
"ANKRD54" 18465
"ANKRD55" 133650
"SOWAHB" 3992
"SOWAHC" 4626
"SOWAHD" 1614
"ANKEF1" 23316
"ANKRD6" 200682
"ANKRD7" 18028
"ANKRD9" 8009
"ANKS1A" 208737
"ANKS1B" 1254869
"ANKS3" 37867
"ANKS4B" 20151
"ANKS6" 64546
"ANKZF1" 6873
"ANLN" 63982
"ANO10" 325746
"ANO1" 203623
"ANO2" 388549
"ANO3" 478784
"ANO4" 411184
"ANO5" 90872
"ANO6" 224371
"ANO7" 51051
"ANO8" 11632
"ANO9" 24077
"ANP32A" 42360
"ANP32B" 32602
"ANP32C" 704
"ANP32D" 1063
"ANP32E" 17716
"ANPEP" 29957
"ANTXR1" 236183
"ANTXR2" 172326
"ANTXRL" 43422
"ZFAND4" 58395
"ANXA10" 95211
"ANXA11" 54919
"ANXA13" 56599
"ANXA1" 18528
"ANXA2P1" 1342
"ANXA2P2" 1309
"ANXA2P3" 1349
"ANXA2" 50874
"ANXA3" 58686
"ANXA4" 183304
"ANXA5" 29048
"ANXA6" 57073
"ANXA7" 38957
"ANXA8L1" 16002
"ANXA8" 523886
"ANXA9" 13777
"AOAH" 215236
"AOC2" 6127
"AOC3" 6948
"AOX1" 91112
"AOX2P" 52997
"AP1AR" 41323
"AP1B1" 60903
"AP1G1" 79834
"AP1G2" 8374
"AP1M1" 47995
"AP1M2" 14644
"AP1S1" 6800
"AP1S2" 29160
"AP1S3" 82256
"AP2A1" 40113
"AP2A2" 86436
"AP2B1" 139148
"AP2M1" 9245
"AP2S1" 12710
"AP3B1" 294182
"AP3B2" 50627
"AP3D1" 50578
"AP3M1" 31055
"AP3M2" 18237
"AP3S1" 72475
"AP3S2" 63395
"AP4B1" 10873
"AP4E1" 97331
"AP4M1" 7626
"AP4S1" 71344
"APAF1" 90292
"APBA1" 245480
"APBA2" 232836
"APBA3" 10924
"APBB1IP" 129555
"APBB1" 24329
"APBB2" 406687
"APBB3" 6336
"APC2" 26976
"APCDD1L" 56298
"APCDD1" 35314
"APCS" 1039
"APC" 138741
"APEH" 10869
"APEX1" 2541
"APEX2" 8694
"APH1A" 16780
"APH1B" 31576
"API5" 32560
"APIP" 34116
"APITD1" 12375
"APLF" 112577
"APLNR" 3876
"APLN" 9697
"APLP1" 11352
"APLP2" 74917
"APOA1BP" 8042
"APOA1" 2199
"APOA2" 1336
"APOA4" 2604
"APOA5" 3053
"APOBR" 4321
"APOBEC1" 21199
"APOBEC2" 11690
"APOBEC3A" 5575
"APOBEC3B" 10432
"APOBEC3C" 6116
"APOBEC3D" 12150
"APOBEC3F" 36891
"APOBEC3G" 10738
"APOBEC3H" 6864
"APOBEC4" 7041
"APOB" 42644
"APOC1P1" 4583
"APOC1" 5021
"APOC2" 3514
"APOC3" 3165
"APOC4" 3259
"APOD" 15235
"APOE" 3599
"APOF" 2289
"APOH" 17382
"APOL1" 14460
"APOL2" 13745
"APOL3" 25854
"APOL4" 15705
"APOL5" 21901
"APOL6" 20090
"APOLD1" 65549
"APOM" 5806
"APOOL" 89463
"APOO" 74590
"APPBP2" 83093
"APPL1" 45742
"APPL2" 62933
"APP" 290578
"APRT" 2589
"APTX" 141248
"AQP10" 4266
"AQP11" 20721
"AQP12A" 6617
"AQP12B" 9325
"AQP1" 13663
"AQP2" 8141
"AQP3" 6442
"AQP4" 13765
"AQP5" 3827
"AQP6" 4192
"AQP7P1" 19277
"AQP7P3" 34986
"AQP7" 19547
"AQP8" 12015
"AQP9" 47742
"LVRN" 65131
"AQR" 117960
"ARAF" 10821
"ARAP1" 67320
"ARAP2" 239647
"ARAP3" 28829
"ARCN1" 30646
"ARC" 3430
"AREG" 9869
"ARF1" 16552
"ARF3" 27274
"ARF4" 25981
"ARF5" 3289
"ARF6" 3972
"ARFGAP1" 17005
"ARFGAP2" 12827
"ARFGAP3" 60792
"ARFGEF1" 169526
"ARFGEF2" 114982
"ARFIP1" 132420
"ARFIP2" 6650
"ARFRP1" 9371
"ARG1" 11103
"ARG2" 31788
"ARGFXP2" 1214
"ARGFX" 22673
"ARGLU1" 26491
"ARHGAP10" 340718
"ARHGAP11A" 24797
"ARHGAP11B" 23034
"ARHGAP12" 123478
"ARHGAP15" 697379
"ARHGAP17" 96212
"ARHGAP18" 134093
"ARHGAP19" 70500
"ARHGAP1" 23583
"ARHGAP20" 136154
"ARHGAP21" 141811
"ARHGAP22" 226434
"ARHGAP23" 93103
"ARHGAP24" 527516
"ARHGAP25" 116335
"ARHGAP26" 458641
"ARHGAP27" 39014
"ARHGAP28" 186000
"ARHGAP29" 106163
"ARHGAP30" 23029
"ARHGAP31" 126425
"ARHGAP32" 314458
"ARHGAP33" 13307
"ARHGAP36" 31539
"ARHGAP39" 171341
"ARHGAP42" 306653
"ARHGAP4" 18886
"ARHGAP5" 87140
"ARHGAP6" 528376
"ARHGAP8" 110226
"ARHGAP9" 16562
"ARHGDIA" 3618
"ARHGDIB" 19586
"ARHGDIG" 2419
"ARHGEF10L" 184433
"ARHGEF10" 134715
"ARHGEF11" 112063
"ARHGEF12" 153661
"ARHGEF15" 12275
"ARHGEF16" 26526
"ARHGEF17" 63427
"ARHGEF18" 128089
"ARHGEF19" 14846
"ARHGEF1" 24268
"ARHGEF2" 44423
"ARHGEF33" 85572
"ARHGEF35" 9796
"ARHGEF37" 82911
"ARHGEF38" 129935
"ARHGEF3" 351889
"ARHGEF4" 214600
"ARHGEF5" 25236
"ARHGEF6" 115398
"ARHGEF7" 191115
"ARHGEF9" 150579
"ARID1A" 86089
"ARID1B" 434753
"ARID2" 178331
"ARID3A" 50206
"ARID3B" 56954
"ARID3C" 12063
"ARID4A" 75491
"ARID4B" 161329
"ARID5A" 15886
"ARID5B" 195690
"ARIH1" 128657
"ARIH2" 67561
"ARL10" 49628
"ARL11" 5416
"ARL13A" 21820
"ARL13B" 75539
"ARL14" 1288
"ARL15" 426648
"ARL16" 2759
"ARL17A" 79567
"ARL1" 14704
"ARL2BP" 8376
"ARL2" 8024
"ARL3" 40666
"ARL4A" 4131
"ARL4C" 4040
"ARL4D" 2144
"ARL5A" 29624
"ARL5B" 22304
"ARL5C" 9267
"ARL6IP1" 9882
"ARL6IP4" 2853
"ARL6IP5" 21155
"ARL6IP6" 44748
"ARL6" 50004
"ARL8A" 11339
"ARL8B" 58619
"ARL9" 19247
"ARMC10" 24892
"ARMC1" 31761
"ARMC2" 140680
"ARMC3" 110503
"ARMC4" 187334
"ARMC5" 8894
"ARMC6" 24573
"ARMC7" 20303
"ARMC8" 111141
"ARMC9" 196363
"ARMCX1" 4153
"ARMCX2" 4597
"ARMCX3" 8780
"ARMCX5" 4953
"ARMCX6" 2883
"ARMS2" 2699
"ARNT2" 193551
"ARNTL2" 92977
"ARNTL" 110716
"ARNT" 67024
"ARPC1A" 40389
"ARPC1B" 20562
"ARPC2" 37210
"ARPC3" 15588
"ARPC4" 15229
"ARPC5L" 15603
"ARPC5" 14937
"ACTRT3" 2640
"ARPP19" 22401
"ARPP21" 159408
"ARR3" 13506
"ARRB1" 91540
"ARRB2" 10881
"ARRDC1" 9720
"ARRDC2" 12978
"ARRDC3" 14701
"ARRDC4" 13130
"ARRDC5" 47855
"ARSA" 5398
"ARSB" 208878
"ARSD" 25373
"ARSE" 33724
"ARSF" 72495
"ARSG" 192849
"ARSH" 27565
"ARSI" 6562
"ARSJ" 80535
"ARSK" 50001
"ART1" 20406
"ART3" 101623
"ART4" 17957
"ART5" 3889
"ARTN" 3920
"ARV1" 21651
"ARVCF" 50096
"ARX" 12271
"AR" 186598
"AS3MT" 32429
"ASAH1" 28969
"ASAH2B" 19319
"ASAH2" 66703
"CLMP" 125376
"ASAP1-IT1" 1178
"ASAP1" 391744
"ASAP2" 198918
"ASAP3" 56068
"ASB10" 12094
"ASB11" 33943
"ASB12" 6413
"ASB13" 27728
"ASB14" 24706
"ASB15" 72478
"ASB16" 8380
"ASB17" 18752
"ASB18" 70893
"ASB1" 25323
"ASB2" 42579
"ASB3" 116973
"ASB4" 59299
"ASB5" 63898
"ASB6" 7565
"ASB7" 49151
"ASB8" 9726
"ASB9" 26489
"ASCC1" 122745
"ASCC2" 49674
"ASCC3" 376261
"ASCL1" 2839
"ASCL2" 2454
"ASCL3" 5461
"ASCL4" 2259
"ASF1A" 15019
"ASF1B" 17077
"FMR1-AS1" 2386
"ASGR1" 6133
"ASGR2" 14216
"ASH1L" 227897
"ASH2L" 35115
"ASIP" 82851
"ASL" 17757
"ASMTL" 50655
"ASMT" 47626
"ASNA1" 11217
"ASNSD1" 9432
"ASNS" 76764
"ASPA" 29759
"ASPDH" 3084
"ASPG" 29924
"ASPHD1" 20296
"ASPHD2" 15755
"ASPH" 214084
"ASPM" 62567
"ASPN" 26301
"ASPRV1" 2176
"ASPSCR1" 40119
"ASRGL1" 63971
"ASS1" 56567
"ASTE1" 12981
"ASTL" 20242
"ASTN1" 309787
"ASTN2" 991945
"ASXL1" 81257
"ASXL2" 144734
"ASXL3" 172976
"ASZ1" 64271
"ATAD1" 89847
"ATAD2B" 239499
"ATAD2" 76597
"ATAD3A" 22544
"ATAD3B" 37734
"ATAD3C" 20474
"ATAD5" 65039
"ATCAY" 47397
"ATE1" 188380
"ATF1" 57480
"ATF2" 95956
"ATF3" 55443
"ATF4" 8192
"ATF5" 5234
"ATF6B" 12982
"ATF6" 197750
"ATF7IP2" 97582
"ATF7IP" 137303
"ATF7" 118559
"ATG10" 286481
"ATG12" 13365
"ATG16L1" 44103
"ATG16L2" 30725
"ATG2A" 22695
"ATG2B" 84146
"ATG3" 29452
"ATG4A" 63004
"ATG4B" 36198
"ATG4C" 81751
"ATG4D" 9521
"ATG5" 141344
"ATG7" 292304
"ATG9A" 10256
"ATG9B" 16058
"ATHL1" 8347
"ATIC" 47771
"ATL1" 99986
"ATL2" 84630
"ATL3" 47892
"ATMIN" 11508
"ATM" 146618
"ATN1" 17862
"ATOH1" 2211
"ATOH7" 1518
"ATOH8" 37597
"ATOX1" 15809
"ATP10A" 192903
"ATP10B" 366291
"ATP10D" 108225
"ATP11A" 197134
"ATP11B" 129506
"ATP11C" 206737
"ATP12A" 32064
"ATP13A1" 18478
"ATP13A2" 26014
"ATP13A3" 84332
"ATP13A4" 194147
"ATP13A5" 104031
"ATP1A1" 37273
"ATP1A2" 27832
"ATP1A3" 27648
"ATP1A4" 35377
"ATP1B1" 26029
"ATP1B2" 11144
"ATP1B3" 49906
"ATP1B4" 21152
"ATP2A1" 26023
"ATP2A2" 69846
"ATP2A3" 40595
"ATP2B1" 121317
"ATP2B2" 383939
"ATP2B3" 65252
"ATP2B4" 117294
"ATP2C1" 166117
"ATP2C2" 97254
"ATP4A" 13627
"ATP4B" 9394
"ATP5A1" 23985
"ATP5B" 7809
"ATP5C1" 19697
"ATP5D" 3074
"ATP5EP2" 367
"ATP5E" 6860
"ATP5F1" 13309
"ATP5G1" 3084
"ATP5G2" 12386
"ATP5G3" 5452
"ATP5H" 8106
"ATP5I" 1840
"ATP5J2" 8009
"ATP5J" 11174
"ATP5L2" 798
"ATP5L" 8458
"ATP5O" 12351
"ATP5SL" 16504
"ATP5S" 16436
"ATP6AP1L" 41485
"ATP6AP1" 7847
"ATP6AP2" 25878
"ATP6V0A1" 63705
"ATP6V0A2" 49402
"ATP6V0A4" 93545
"ATP6V0B" 3335
"ATP6V0C" 6497
"ATP6V0D1" 43138
"ATP6V0D2" 55315
"ATP6V0E1" 51674
"ATP6V0E2" 7749
"ATP6V1A" 65021
"ATP6V1B1" 29531
"ATP6V1B2" 29477
"ATP6V1C1" 51968
"ATP6V1C2" 64137
"ATP6V1D" 21932
